ac_no,Candidate,Party,% of Votes,Total Votes,,
103,SAMYAK CHANDRA,Independent,0.22%,"49,2",,
103,GAURAV RATHORE,Independent,0.13%,"29,0",,
103,RAM BRAJESH,Independent,0.12%,"27,3",,
103,RAHUL URF RAHUL KUMAR PATHAK,Aam Aadmi Party,0.1%,"21,8",,
103,DEVENDRA SINGH RATHORE,Independent,0.06%,"14,0",,
103,ANURAG SINGH,Independent,0.06%,"13,1",,
104,Vipin kumar David,Bharatiya Janata Party,46.34%,"97,539",,
104,Jugendra Singh Yadav,Samajwadi Party,38.15%,"80,292",,
104,Ajay Singh,Bahujan Samaj Party,12.77%,"26,871",,
104,Gunjan Mishra,Indian National Congress,0.71%,"14,97",,
104,NOTA,None of the Above,0.37%,"77,9",,
104,Sahab Singh,Independent,0.32%,"66,6",,
104,Roop kishor Shakya,Jan Adhikar Party,0.31%,"65,4",,
104,Umeshkant,Aam Aadmi Party,0.27%,"57,5",,
104,Satyaprakash,Independent,0.25%,"51,9",,
104,Sukhvendra Singh,Independent,0.1%,"21,8",,
104,Vijendr Singh,Independent,0.1%,"20,6",,
104,Ravendr Singh,Independent,0.09%,"18,7",,
104,Mahipal,Voters Party International,0.08%,"16,2",,
104,Durgesh Kumar,Independent,0.06%,"13,6",,
104,Rajiv Kumar,Independent,0.05%,"11,1",,
104,Omendra Singh,Independent,0.04%,"77,",,
105,Virendra Singh Lodhi,Bharatiya Janata Party,49.01%,"10,1387",,
105,Amit Gaurav,Samajwadi Party,40.5%,"83,778",,
105,Yogesh Kumar,Bahujan Samaj Party,8.17%,"16,900",,
105,Tara Rajput,Indian National Congress,0.41%,"85,2",,
105,NOTA,None of the Above,0.41%,"84,7",,
105,Arjun Yadav,Aam Aadmi Party,0.34%,"69,5",,
105,Amit Kumar,Independent,0.26%,"54,8",,
105,Suneeta Shakya,Jan Adhikar Party,0.23%,"48,2",,
105,Mukesh,Independent,0.22%,"45,6",,
105,Vidhya Verma,Independent,0.21%,"44,4",,
105,Raghuveer Singh,Voters Party International,0.07%,"14,4",,
105,Anuj Kumar,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0.06%,"12,9",,
105,Vikas Kumar,Bahujan Mukti Party,0.05%,"10,7",,
105,Mamta Singh,Rashtriya Backward Party,0.05%,"10,1",,
106,SANJEEV KUMAR,Bharatiya Janata Party,45.1%,"91,339",,
106,RANJEET SUMAN,Samajwadi Party,42.91%,"86,898",,
106,AKASH SINGH,Bahujan Samaj Party,9.56%,"19,364",,
106,NEELAMA RAJ,Indian National Congress,0.42%,"86,0",,
106,RAJA BABU,Independent,0.42%,"84,1",,
106,NOTA,None of the Above,0.31%,"61,9",,
106,ASHOK,Aazad Samaj Party (Kanshi Ram),0.3%,"61,6",,
106,RAHUL KUMAR VERMA,Independent,0.26%,"53,3",,
106,SUKHVIR SINGH DHANGAR,Rashtriya Shoshit Samaj Party,0.2%,"39,6",,
106,CHOB SINGH,Jan Adhikar Party,0.19%,"38,7",,
106,RAHUL PRATAP SINGH,Independent,0.1%,"20,2",,
106,INDRESH KUMARI,Voters Party International,0.07%,"14,8",,
106,DHIRAZ SINGH,Jansatta Dal Loktantrik,0.06%,"12,7",,
106,PREMLATA,Aam Aadmi Party,0.05%,"10,6",,
106,RAJU,Bhartiya Jan Nayak Party,0.05%,"95,",,
107,JAYVEER SINGH,Bharatiya Janata Party,46.73%,"99,814",,
107,RAJKUMAR URF RAJU YADAV,Samajwadi Party,43.56%,"93,048",,
107,GAURAV NAND,Bahujan Samaj Party,8.06%,"17,216",,
107,VINEETA,Indian National Congress,1.2%,"25,58",,
107,NOTA,None of the Above,0.45%,"95,3",,
108,Ram Naresh Agnihotri,Bharatiya Janata Party,45.18%,"97,208",,
108,Alok Kumar Shakya,Samajwadi Party,42.97%,"92,441",,
108,Ashok Kumar,Bahujan Samaj Party,6.58%,"14,150",,
108,Bhupendra Singh,Jan Adhikar Party,1.96%,"42,14",,
108,Mamta Rajput,Indian National Congress,0.99%,"21,21",,
108,Surjeet Singh,Independent,0.76%,"16,27",,
108,Anita,Voters Party International,0.47%,"10,11",,
108,Santosh Kumar Shrivashtav,Aam Aadmi Party,0.44%,"95,2",,
108,NOTA,None of the Above,0.42%,"90,6",,
108,Shrey Tiwari,Independent,0.24%,"52,3",,
109,ENG. BRAJESH KATHERIYA,Samajwadi Party,49.58%,"97,070",,
109,DR. PRIYA RANJAN ASHU DIWAKAR,Bharatiya Janata Party,39.8%,"77,919",,
109,PRABHU DAYAL,Bahujan Samaj Party,8.56%,"16,755",,
109,DR. VIJAY NARAIN SINGH ASST. PROFESSOR,Indian National Congress,0.8%,"15,70",,
109,NOTA,None of the Above,0.61%,"11,85",,
109,PAPPU,Aam Aadmi Party,0.41%,"79,9",,
109,RAMANAND,Independent,0.25%,"49,7",,
110,Akhilesh Yadav,Samajwadi Party,60.12%,"14,8196",,
110,Prof. S.P. Singh Baghel,Bharatiya Janata Party,32.74%,"80,692",,
110,Kuladip Narayan,Bahujan Samaj Party,6.37%,"15,701",,
110,NOTA,None of the Above,0.77%,"19,09",,
111,Ramkhiladi Singh,Samajwadi Party,51.38%,"12,3969",,
111,AJEET KUMAR URF RAJU YADAV,Bharatiya Janata Party,39.14%,"94,440",,
111,FIROZ,Bahujan Samaj Party,6.24%,"15,068",,
111,NOTA,None of the Above,1.08%,"26,01",,
111,Vijay Sharma,Indian National Congress,0.7%,"16,94",,
111,Ramkhiladi,Independent,0.41%,"99,2",,
111,Lakhvendra Urf Akhilesh Yadav,Independent,0.33%,"79,0",,
111,Hari Singh,Independent,0.27%,"65,3",,
111,ANIL KUMAR,Aazad Samaj Party (Kanshi Ram),0.24%,"56,8",,
111,VIJAY KUMAR,Aam Aadmi Party,0.21%,"51,7",,
112,ASHUTOSH MAURYA URF RAJU,Samajwadi Party,44.23%,"11,0569",,
112,KUSHAGRA SAGAR,Bharatiya Janata Party,43.5%,"10,8735",,
112,JAYPAL SINGH,Bahujan Samaj Party,9.38%,"23,454",,
112,REKHA CHANDRA,Jan Adhikar Party,0.83%,"20,72",,
112,NOTA,None of the Above,0.71%,"17,87",,
112,PRAGYA YASHODA,Indian National Congress,0.44%,"10,89",,
112,SURENDRA,Independent,0.35%,"88,3",,
112,HARI PRAKASH ARYA,Sanyukt Samajwadi Dal,0.31%,"76,5",,
112,GAUTAM KUMAR,Independent,0.24%,"61,0",,
113,BRAJESH YADAV,Samajwadi Party,33.35%,"83,673",,
113,MUSARRAT ALI,Bahujan Samaj Party,27.79%,"69,728",,
113,DHIRENDRA KUMAR BHARDWAJ,Bharatiya Janata Party,26.55%,"66,616",,
113,KUNAL SINGH,Rashtriya Parivartan Dal,9.59%,"24,060",,
113,NOTA,None of the Above,0.76%,"18,99",,
113,RAJVEER SINGH,Indian National Congress,0.45%,"11,26",,
113,RAVENDRA SARMA,Independent,0.39%,"96,9",,
113,PRAVESH KUMAR,Independent,0.36%,"91,4",,
113,RAKESH KUMAR SHARMA,Independent,0.35%,"87,6",,
113,NAVAB,Jan Seva Sahayak Party,0.23%,"57,3",,
113,ANIL KUMAR,Aam Aadmi Party,0.17%,"43,8",,
114,HARISH CHANDRA,Bharatiya Janata Party,45.54%,"93,500",,
114,CHANDRA PRAKASH MAURYA,Samajwadi Party,33.31%,"68,385",,
114,MAMTA SHAKYA,Bahujan Samaj Party,15.44%,"31,694",,
114,MIR HADI ALI URF BABAR MIYAN,Aazad Samaj Party (Kanshi Ram),1.36%,"27,90",,
114,VEER PAL SINGH,Rashtriya Parivartan Dal,0.99%,"20,33",,
114,ANKIT CHAUHAN,Indian National Congress,0.92%,"18,90",,
114,KISHOR KUMAR,Rashtriya Shoshit Samaj Party,0.69%,"14,11",,
114,NOTA,None of the Above,0.57%,"11,73",,
114,RAJARAM SHAKYA,Independent,0.34%,"69,0",,
114,SHAILENDRA KUMAR MISHRA,Jansatta Dal Loktantrik,0.3%,"61,5",,
114,DEVENDRA,Aam Aadmi Party,0.28%,"57,9",,
114,DEENANATH,Independent,0.27%,"55,9",,
115,Mahesh Chandra Gupta,Bharatiya Janata Party,46.12%,"10,1096",,
115,Rais Ahmad,Samajwadi Party,41.02%,"89,917",,
115,Rajesh Kumar Singh,Bahujan Samaj Party,10.56%,"23,135",,
115,Rajni Singh,Indian National Congress,1.02%,"22,35",,
115,NOTA,None of the Above,0.64%,"13,92",,
115,Usaman Gaddi,VANCHITSAMAJ INSAAF PARTY,0.32%,"70,6",,
115,Hem Singh,Independent,0.17%,"36,9",,
115,Nandram,Bharatiya Subhash Sena,0.15%,"33,3",,
116,Himanshu Yadav,Samajwadi Party,42.84%,"10,5531",,
116,DHARMENDRA KUMAR SINGH SHAKYA,Bharatiya Janata Party,40.36%,"99,431",,
116,MUSLIM KHAN,Bahujan Samaj Party,14.18%,"34,932",,
116,NOTA,None of the Above,0.72%,"17,73",,
116,MAMTA DEVI,Indian National Congress,0.59%,"14,54",,
116,AVNESH KUMAR,Aazad Samaj Party (Kanshi Ram),0.35%,"85,7",,
116,RIYASAT KHAN,Aam Aadmi Party,0.24%,"60,0",,
116,SUNIL KUMAR,Vikassheel Insaan Party,0.24%,"58,2",,
116,SHAHID ALI,Independent,0.17%,"41,5",,
116,RAVINDER KUMAR SINGH,Bahujan Mukti Party,0.12%,"30,6",,
116,KUNWAR PAL,Bharatiya Subhash Sena,0.1%,"25,5",,
116,MOHER SINGH,Jan Seva Sahayak Party,0.09%,"23,0",,
117,RAJEEV SINGH URF BABBU BHAIYA,Bharatiya Janata Party,45.34%,"10,7591",,
117,ARJUN SINGH,Samajwadi Party,41.35%,"98,115",,
117,RACHIT GUPTA,Bahujan Samaj Party,8.67%,"20,571",,
117,ATIF KHAN,Indian National Congress,1.02%,"24,13",,
117,GANESH,Jan Adhikar Party,0.65%,"15,51",,
117,NOTA,None of the Above,0.62%,"14,63",,
117,OMVEER,Vikassheel Insaan Party,0.47%,"11,24",,
117,RAJEEV KUMAR,Garib Berozgar Vikas Party,0.45%,"10,76",,
117,RAJEEV PAL,Rashtriya Samaj Paksha,0.36%,"85,5",,
117,MUNNA LAL,Rashtra Uday Party,0.34%,"79,8",,
117,SUBHASH CHANDRA YADAV,Rashtriya Parivartan Dal,0.2%,"47,7",,
117,RAGHUNANDAN,Bharatiya Subhash Sena,0.18%,"42,0",,
117,KIRPA SHANKAR,Bahujan Mukti Party,0.14%,"32,6",,
117,DHEERPAL KASHYAP,Aam Aadmi Party,0.12%,"28,1",,
117,BRAJPAL SINGH,Jan Seva Sahayak Party,0.1%,"24,3",,
118,ATAUR REHMAN,Samajwadi Party,46.67%,"12,4145",,
118,CHHATRA PAL SINGH,Bharatiya Janata Party,45.41%,"12,0790",,
118,ASEY RAM,Bahujan Samaj Party,5.95%,"15,814",,
118,SANTOSH,Indian National Congress,0.69%,"18,45",,
118,NOTA,None of the Above,0.44%,"11,72",,
118,ASIF RAZA,Aam Aadmi Party,0.2%,"51,9",,
118,DUSHYANT KUMAR,Independent,0.19%,"50,4",,
118,FARIDA REHMAN,Independent,0.13%,"33,9",,
118,DHARM PAL,Bharatiya Subhash Sena,0.1%,"25,6",,
118,JITENDRA PAL SINGH,Aazad Samaj Party (Kanshi Ram),0.09%,"24,1",,
118,CHHATR PAL,Independent,0.08%,"21,6",,
118,AJAY GANGWAR,Independent,0.06%,"16,2",,
119,DR. D. C. VERMA,Bharatiya Janata Party,50.98%,"11,6435",,
119,SULTAN BEG,Samajwadi Party,36.76%,"83,955",,
119,KUNWAR BHANU PRATAP SINGH KUNWAR PRATAP,Bahujan Samaj Party,8.4%,"19,189",,
119,MU. ILIYAS,Indian National Congress,2.32%,"52,88",,
119,NOTA,None of the Above,0.51%,"11,62",,
119,YOGESH KUMAR,Aam Aadmi Party,0.36%,"81,8",,
119,LAIK AHAMAD MANSURI,VANCHITSAMAJ INSAAF PARTY,0.35%,"80,8",,
119,JAVED KHAN,Independent,0.32%,"73,2",,
120,SHAZIL ISLAM ANSARI,Samajwadi Party,45.88%,"11,9402",,
120,BAHORAN LAL MAURYA,Bharatiya Janata Party,42.26%,"10,9993",,
120,YOGESH KUMAR,Bahujan Samaj Party,10.34%,"26,909",,
120,SARDAR KHAN,Indian National Congress,0.75%,"19,63",,
120,NOTA,None of the Above,0.53%,"13,73",,
120,MAHENDRA SINGH,Aam Aadmi Party,0.23%,"61,0",,
121,Dr. M. P. Arya,Bharatiya Janata Party,48.2%,"11,1113",,
121,BHAGWAT SARAN GANGWAR,Samajwadi Party,44.2%,"10,1876",,
121,Yusuf Khan,Bahujan Samaj Party,4.81%,"11,083",,
121,Usha Devi Gangwar,Indian National Congress,0.88%,"20,39",,
121,NOTA,None of the Above,0.63%,"14,51",,
121,Meenakshi Gangwar,Independent,0.31%,"72,3",,
121,Sunita Gangwar,Aam Aadmi Party,0.27%,"62,1",,
121,Ratan Lal,Bharatiya Subhash Sena,0.17%,"38,5",,
121,Lekhraj Gangwar,Independent,0.14%,"31,9",,
121,Mohd. Saleem,Bahujan Mukti Party,0.12%,"28,2",,
121,Komil Parshad,Independent,0.1%,"23,8",,
121,RASHID ALI,Aazad Samaj Party (Kanshi Ram),0.1%,"22,5",,
121,Umesh Kumar,Independent,0.06%,"14,8",,
122,PROF. SHYAM BIHARI LAL,Bharatiya Janata Party,45.22%,"92,070",,
122,VIJAY PAL SINGH,Samajwadi Party,43.78%,"89,149",,
122,SHALINI SINGH,Bahujan Samaj Party,7.11%,"14,478",,
122,AMISH SAGAR,Lok Dal,0.86%,"17,59",,
122,VISHAL SAGAR,Indian National Congress,0.86%,"17,44",,
122,NOTA,None of the Above,0.75%,"15,32",,
122,MAHENDRA,Independent,0.41%,"83,7",,
122,PRIYANKA KUMARI,Independent,0.29%,"58,2",,
122,SUSHIL KUMAR GAUTAM,Bahujan Mukti Party,0.18%,"35,9",,
122,SUNEETA SINGH,Independent,0.17%,"35,5",,
122,JANAK PRASAD,Aam Aadmi Party,0.17%,"34,7",,
122,ULFAT,Jan Seva Sahayak Party,0.11%,"22,6",,
122,PREMPAL SAGAR,VANCHITSAMAJ INSAAF PARTY,0.08%,"16,9",,
123,DR. RAGHAVENDRA SHARMA,Bharatiya Janata Party,46.53%,"11,5417",,
123,AGAM KUMAR MAURYA,Samajwadi Party,40.15%,"99,576",,
123,ASHISH PATEL,Bahujan Samaj Party,9.16%,"22,727",,
123,TOUFEEQ,All India Majlis-E-Ittehadul Muslimeen,1.15%,"28,58",,
123,SATISH KUMAR SINGH,Communist Party of India,0.64%,"15,81",,
123,ALKA SINGH,Indian National Congress,0.6%,"14,82",,
123,NOTA,None of the Above,0.52%,"12,83",,
123,MANOJ SINGH,Independent,0.28%,"70,5",,
123,SURESH GIRI,Independent,0.2%,"49,9",,
123,PRITI KASHYAP,Rashtriya Mazdoor Ekta Party,0.18%,"43,6",,
123,ABDUL FAHIM,Independent,0.13%,"32,7",,
123,DEVENDRA KUMAR,Independent,0.13%,"31,9",,
123,SANGH PRIYA,Independent,0.13%,"31,7",,
123,AHMAD HUSAIN,Aazad Samaj Party (Kanshi Ram),0.12%,"30,8",,
123,PAPPU SAGAR,Aam Aadmi Party,0.08%,"19,5",,
124,DR ARUN KUMAR,Bharatiya Janata Party,53.77%,"12,9014",,
124,RAJESH KUMAR AGARWAL,Samajwadi Party,40.3%,"96,694",,
124,BRAHAMA NAND SHARMA,Bahujan Samaj Party,2.91%,"69,82",,
124,KRISHNA KANT SHARMA,Indian National Congress,0.96%,"23,11",,
124,SHAHEEM KHAN URF RAJU,All India Majlis-E-Ittehadul Muslimeen,0.73%,"17,44",,
124,NOTA,None of the Above,0.49%,"11,78",,
124,KRISHNA BHARDWAJ,Aam Aadmi Party,0.3%,"71,4",,
124,AMIT KHANDELWAL,Jan Shakti Ekta Party,0.19%,"46,5",,
124,RAFIA SHABNAM,Aazad Samaj Party (Kanshi Ram),0.11%,"26,3",,
124,RAKESH AGARWAL ADVOCATE,Independent,0.11%,"25,8",,
124,SAFIYA KHATOON,VANCHITSAMAJ INSAAF PARTY,0.09%,"22,0",,
124,JAVED HUSAIN,Mera Adhikaar Rashtriya Dal,0.04%,"10,3",,
125,SANJEEV AGARWAL,Bharatiya Janata Party,50.43%,"98,931",,
125,SUPRIYA ARON,Samajwadi Party,44.94%,"88,163",,
125,ANIL KUMAR,Bahujan Samaj Party,1.72%,"33,70",,
125,MOHD. ISLAM ANSARI,Indian National Congress,1.16%,"22,80",,
125,NOTA,None of the Above,0.35%,"68,7",,
125,SUNIL KUMAR,Independent,0.22%,"42,7",,
125,RAHEES MIYA,VANCHITSAMAJ INSAAF PARTY,0.22%,"42,5",,
125,SHIVRI NAGVANSHI,Aam Aadmi Party,0.21%,"41,4",,
125,MOHD NAFEES,Independent,0.16%,"31,5",,
125,CHANDRA BHOJ PATHAK,Independent,0.15%,"29,6",,
125,RAM GOPAL KASHYAP,Shiv Sena,0.13%,"25,3",,
125,KRISHNA PAL,Independent,0.12%,"23,5",,
125,SHAHNAZ BEGUM,Peace Party,0.05%,"10,5",,
125,VISHNU MOURYA,Jan Seva Sahayak Party,0.05%,"10,2",,
125,VINOD KUMAR GAUTAM,Jan Shakti Ekta Party,0.04%,"85,",,
125,ADARSH KUMAR GUPTA,Independent,0.04%,"80,",,
126,DHARMPAL SINGH,Bharatiya Janata Party,46.45%,"88,956",,
126,PT. RADHA KRISHAN SHARMA,Samajwadi Party,36.83%,"70,532",,
126,LAXMAN PRASAD,Bahujan Samaj Party,9.8%,"18,773",,
126,JEERAJ SINGH,Independent,2.81%,"53,82",,
126,OMVEER,Indian National Congress,1.2%,"23,07",,
126,DEVENDRA MAITHIL,Independent,0.83%,"15,91",,
126,RAM SINGH MAURYA,Aam Aadmi Party,0.71%,"13,66",,
126,NOTA,None of the Above,0.63%,"12,11",,
126,MAKKHAN,Bahujan Mukti Party,0.28%,"53,1",,
126,SHIVADAS VERMA,Vikassheel Insaan Party,0.27%,"51,4",,
126,MUEENUDDIN,Aazad Samaj Party (Kanshi Ram),0.18%,"34,6",,
127,SANJAY SINGH GANGWAR,Bharatiya Janata Party,48.08%,"12,5506",,
127,SHAILENDRA SINGH GANGWAR,Samajwadi Party,45.41%,"11,8536",,
127,SHANE ALI,Bahujan Samaj Party,4.64%,"12,099",,
127,NOTA,None of the Above,0.46%,"11,88",,
127,SHAKEEL AHMAD NOORI,Indian National Congress,0.4%,"10,42",,
127,ARVIND YADAV,Sarv Samaj Party,0.35%,"91,6",,
127,MOTI RAM RAJPOOT,Sabka Dal United,0.21%,"54,8",,
127,MOHD SHARIK,Independent,0.17%,"43,9",,
127,IKRAR HUSAIN,Independent,0.16%,"41,3",,
127,BELA MATI,Bharatiya Subhash Sena,0.12%,"32,2",,
128,JAYDRATH URF PRAVAKTANAND,Bharatiya Janata Party,63.8%,"15,1771",,
128,HEMRAJ VERMA,Samajwadi Party,29.55%,"70,299",,
128,MOHAN SWAROOP,Bahujan Samaj Party,3.94%,"93,83",,
128,HARPREET PAL SINGH,Indian National Congress,1.14%,"27,02",,
128,NOTA,None of the Above,0.78%,"18,63",,
128,ASHISH GUPTA,Aam Aadmi Party,0.21%,"49,7",,
128,SARVESH MUNI PATHRIYA,Bharatiya Jan Jagriti Party,0.21%,"49,1",,
128,KISHAN LAL,Bharatiya Subhash Sena,0.14%,"32,7",,
128,RAM KUMAR,Sabka Dal United,0.12%,"27,8",,
128,BRIJ LAL,Bahujan Mukti Party,0.11%,"26,7",,
129,BABURAM,Bharatiya Janata Party,50.12%,"13,4404",,
129,ARTI,Samajwadi Party,40.21%,"10,7828",,
129,ASHOK KUMAR RAJA,Bahujan Samaj Party,5.99%,"16,060",,
129,DEEPTI VERMA,Independent,0.94%,"25,18",,
129,ISHWAR DAYAL PASWAN,Indian National Congress,0.77%,"20,54",,
129,NOTA,None of the Above,0.58%,"15,43",,
129,KAMLESH KUMAR,Log Party,0.47%,"12,71",,
129,VINOD KUMAR BHARTI,Independent,0.27%,"71,7",,
129,RAMPAL,Independent,0.25%,"68,2",,
129,AMIT KUMAR,Independent,0.14%,"38,0",,
129,RAMESHWAR DAYAL,Bharatiya Subhash Sena,0.14%,"37,0",,
129,RAKESH DAVID,Rashtriya Teesara Vikalp Party,0.13%,"35,0",,
130,VIVEK KUMAR VERMA,Bharatiya Janata Party,50.55%,"12,1142",,
130,DIVYA GANGWAR,Samajwadi Party,29.52%,"70,733",,
130,ANIS AHMED KHAN PHOOL BABU,Bahujan Samaj Party,15.02%,"35,983",,
130,NITIN PATHAK,Independent,1.2%,"28,80",,
130,BHEEMSEN SHARMA,Communist Party of India,0.74%,"17,74",,
130,SHIKHA PANDEY,Indian National Congress,0.58%,"13,82",,
130,NOTA,None of the Above,0.52%,"12,38",,
130,PRADEEP KUMAR,Independent,0.34%,"80,3",,
130,DHARAMPAL GANGWAR,Aam Aadmi Party,0.27%,"65,2",,
130,SUSHIL KUMAR SHUKLA,Independent,0.26%,"63,5",,
130,RAJARAM MATHUR,Aazad Samaj Party (Kanshi Ram),0.22%,"53,1",,
130,RAJESH CHANDRA ARVIND,Independent,0.22%,"52,9",,
130,RAJESH KUMAR,Sabka Dal United,0.21%,"50,8",,
130,MANOJ SINGH KUSHWAHA,Jan Adhikar Party,0.2%,"47,3",,
130,GIRISH SHRIVASTAVA,Naitik Party,0.15%,"36,2",,
131,Veer Vikram Singh,Bharatiya Janata Party,39.9%,"77,800",,
131,Rajesh Yadav,Samajwadi Party,39.72%,"77,443",,
131,Munna Singh,Indian National Congress,8.98%,"17,504",,
131,Rajesh Kashyap,Bahujan Samaj Party,7.81%,"15,236",,
131,Rajveer,Jan Adhikar Party,1.46%,"28,43",,
131,NOTA,None of the Above,0.56%,"10,91",,
131,Omdev,Independent,0.44%,"86,6",,
131,Mahipal,Independent,0.29%,"56,5",,
131,Amit Kumar Mishra,Independent,0.24%,"47,7",,
131,Vedram,Bharatiya Subhash Sena,0.24%,"46,0",,
131,Vishwa Deepak,Independent,0.2%,"39,4",,
131,Sukhvindar Singh,Aam Aadmi Party,0.15%,"28,8",,
132,Hari Prakash Verma,Bharatiya Janata Party,45.97%,"99,609",,
132,Neeraj Nalinish,Samajwadi Party,43.86%,"95,037",,
132,Anuruddh Singh,Bahujan Samaj Party,7.41%,"16,057",,
132,Santram Singh Chauhan,Aam Aadmi Party,0.6%,"13,01",,
132,Gurmeet Kaur,Indian National Congress,0.58%,"12,60",,
132,NOTA,None of the Above,0.58%,"12,58",,
132,Alok Kumar Sharma,Independent,0.41%,"89,3",,
132,Alok Yadav,Independent,0.37%,"79,3",,
132,Sanjeev Kumar,Independent,0.22%,"48,0",,
133,SALONA KUSHWAHA,Bharatiya Janata Party,47.93%,"10,2307",,
133,ROSHAN LAL VERMA,Samajwadi Party,41.71%,"89,030",,
133,NAWAB FAIZAN ALI KHAN,Bahujan Samaj Party,5.76%,"12,290",,
133,RAJNISH GUPTA,Indian National Congress,1.44%,"30,82",,
133,NOKHEY LAL,Communist Party of India,0.58%,"12,45",,
133,PRAMOD KUMAR YADAV,Bhartiya Krishak Dal,0.44%,"94,7",,
133,BABU SINGH,Independent,0.39%,"82,3",,
133,NOTA,None of the Above,0.36%,"77,2",,
133,ABHISHEK SINGH KUSHWAHA,Independent,0.32%,"69,3",,
133,RAM ASEREY,Independent,0.32%,"67,4",,
133,VISHAMBAR DAYAL,Aam Aadmi Party,0.18%,"37,9",,
133,SUMIT SRIVASTAV,Independent,0.18%,"37,4",,
133,HARISHCHANDRA SHARMA,Bharatiya Subhash Sena,0.15%,"31,7",,
133,SARITA YADAV,Rashtriya Samaj Paksha,0.14%,"29,4",,
133,SAKIR,Lok Janshakti Party(Ram Vilas),0.11%,"22,8",,
134,CHETRAM,Bharatiya Janata Party,55.62%,"12,9785",,
134,UPENDRA PAL SINGH,Samajwadi Party,33.52%,"78,207",,
134,UDAYVEER SINGH,Bahujan Samaj Party,7.2%,"16,799",,
134,ANUJ KUMRI,Indian National Congress,1.07%,"24,93",,
134,NOTA,None of the Above,0.59%,"13,67",,
134,AMIT KUMAR,Lok Janshakti Party(Ram Vilas),0.58%,"13,59",,
134,SUDHA DEVI,Independent,0.29%,"66,7",,
134,MAHENDRA SINGH,Independent,0.27%,"62,9",,
134,RAMPAL,Independent,0.27%,"62,6",,
134,MAHESH CHANDRA SAGAR,Aazad Samaj Party (Kanshi Ram),0.2%,"47,4",,
134,DIVAKER LAL,Independent,0.2%,"46,4",,
134,CHAMPATI,Bharatiya Subhash Sena,0.2%,"45,5",,
135,Suresh Kumar Khanna,Bharatiya Janata Party,48.98%,"10,9942",,
135,Tanveer Khan,Samajwadi Party,44.83%,"10,0629",,
135,Sarvesh Chandra Dhandhu,Bahujan Samaj Party,3.89%,"87,26",,
135,Smt. Poonam,Indian National Congress,0.62%,"13,82",,
135,NOTA,None of the Above,0.43%,"96,6",,
135,Manoj Kumar,Rashtriya Samaj Paksha,0.34%,"75,5",,
135,Lokesh Shrivastava,Independent,0.22%,"50,3",,
135,Rajiv Kumar,Aam Aadmi Party,0.14%,"31,0",,
135,Ajay Mera Pandey,Independent,0.11%,"23,9",,
135,Wakar Ahamad Khan,Independent,0.08%,"19,0",,
135,Aradhana,Independent,0.08%,"18,6",,
135,Sanjay Kumar,Independent,0.08%,"17,1",,
135,Shahadeva Kumar,Sabka Dal United,0.06%,"12,4",,
135,Rahul Mohan,Lok Janshakti Party(Ram Vilas),0.05%,"12,2",,
135,Rajeev Kumar Saxena,Bhartiya Krishak Dal,0.05%,"10,6",,
135,RAM DAYAL,Bharatiya Subhash Sena,0.04%,"96,",,
136,MANVENDRA SINGH,Bharatiya Janata Party,45.06%,"10,0957",,
136,Rajesh Kumar Verma,Samajwadi Party,40.73%,"91,256",,
136,Chandraketu Maurya,Bahujan Samaj Party,9.67%,"21,671",,
136,Akhilesh Kumar,Independent,0.9%,"20,14",,
136,Anil Kumar Bharti,Independent,0.66%,"14,70",,
136,Tanveer Khan,Indian National Congress,0.64%,"14,36",,
136,NOTA,None of the Above,0.44%,"99,3",,
136,Surpati,Voters Party International,0.35%,"78,1",,
136,Pradeep Kumar Singh,Jan Adhikar Party,0.33%,"73,5",,
136,Rajeev Singh,Aam Aadmi Party,0.32%,"71,6",,
136,Jitendra Pal Singh,Lok Janshakti Party(Ram Vilas),0.3%,"66,8",,
136,RAM RAHISH,Independent,0.19%,"42,1",,
136,MUKESH,Rashtriya mahan Gantantra Party,0.17%,"37,4",,
136,Nirmala Gupta,Shiv Sena,0.14%,"31,7",,
136,Pradeep Singh,Rashtriya Samaj Paksha,0.11%,"24,6",,
137,Harvinder Kumar Sahni alias Romi Sahni,Bharatiya Janata Party,50.2%,"11,8864",,
137,Pritinder Singh Kakku,Samajwadi Party,34.1%,"80,735",,
137,Dr. Jakir Husain,Bahujan Samaj Party,11.76%,"27,849",,
137,Rishal Ahamad,Indian National Congress,1.91%,"45,14",,
137,NOTA,None of the Above,0.85%,"20,10",,
137,Arti Rai,Communist Party of India (Marxist-Leninist) (Liberation),0.77%,"18,22",,
137,Lalit Kumar Verma,Aam Aadmi Party,0.42%,"10,00",,
138,Shashank Verma,Bharatiya Janata Party,53.41%,"12,6488",,
138,R S Kushwaha,Samajwadi Party,36.1%,"85,479",,
138,R A Usmani,Bahujan Samaj Party,6.5%,"15,392",,
138,Atal Kumar Shukla,Indian National Congress,1.17%,"27,62",,
138,Qamrul Huda,Jan Adhikar Party,1.14%,"27,07",,
138,NOTA,None of the Above,0.93%,"21,91",,
138,Harish Verma,Aam Aadmi Party,0.44%,"10,50",,
138,Chandra Pratap Lodhi,Independent,0.32%,"74,6",,
139,Arvind Giri,Bharatiya Janata Party,48.67%,"12,6534",,
139,Vinay Tiwari,Samajwadi Party,37.4%,"97,240",,
